#
# Noise strength: 0.0
# Non-Stationarity of MSO: no
# Period of stationarity of MSO: 600 time steps
# multiple superimposed oscillator with 4 sine waves for stationarity period of index 0: y(n) = 0.23665742715330262*sin(0.2*n + 3.4944112153733786) + 0.7463565611511923*sin(0.311*n + 5.5439752940244516) + 0.4018800418103883*sin(0.42*n + 0.5310815319131676) + 0.6313016332282096*sin(0.51*n + 2.048090269510822)
# 
# input 0: time step
# input 1: index of period of stationarity
#
# LW_PARAMETER_SETS
(FREQ=0.2)
(FREQ=0.311)
(FREQ=0.42)
(FREQ=0.51)
#index_of_time_step	input_0,input_1	output_0	complexity_0	component_0_input_0,component_0_input_1	component_0_output_0	component_1_input_0,component_1_input_1	component_1_output_0	component_2_input_0,component_2_input_1	component_2_output_0	component_3_input_0,component_3_input_1	component_3_output_0
# LW_SAMPLES
0	0.0,0.0	0.17968760144306084	0.0	0.0,0.0	-0.08177558286621316	0.0,0.0	-0.5028236401330187	0.0,0.0	0.20353865712542019	0.0,0.0	0.5607481673168725	
1	1.0,0.0	0.24077844611017574	0.0	1.0,0.0	-0.12426598519028544	1.0,0.0	-0.30991941120678096	1.0,0.0	0.3271480921187852	1.0,0.0	0.3478157503884569	
2	2.0,0.0	0.19116976582444098	0.0	2.0,0.0	-0.16180229482881367	2.0,0.0	-0.08728029606874516	2.0,0.0	0.3938919523904499	2.0,0.0	0.04636040433154993	
3	3.0,0.0	0.07611928090265918	0.1761413295888967	3.0,0.0	-0.19288805756918473	3.0,0.0	0.14373283366240883	3.0,0.0	0.39216867869269895	3.0,0.0	-0.26689417388326386	
4	4.0,0.0	-0.04527175062559102	0.07178235124251545	4.0,0.0	-0.21628398214773686	4.0,0.0	0.3609556705002937	4.0,0.0	0.3222778141119392	4.0,0.0	-0.512221253090087	
5	5.0,0.0	-0.1183248049605129	0.054678523799796735	5.0,0.0	-0.2310573468816326	5.0,0.0	0.5435470018508751	5.0,0.0	0.19636793685457635	5.0,0.0	-0.6271823967843317	
6	6.0,0.0	-0.10882464893521104	0.13089118755355206	6.0,0.0	-0.2366191843389798	6.0,0.0	0.6739882978491498	6.0,0.0	0.036324968635779595	6.0,0.0	-0.5825187310811607	
7	7.0,0.0	-0.012612985791115805	0.1692647174790171	7.0,0.0	-0.23274776161174715	7.0,0.0	0.7397645079575428	7.0,0.0	-0.1300320826175327	7.0,0.0	-0.3895976495193787	
8	8.0,0.0	0.1436610157664317	0.14677384553224565	8.0,0.0	-0.21959742010708844	8.0,0.0	0.7345648040952945	8.0,0.0	-0.2737866816834705	8.0,0.0	-0.09751968653830388	
9	9.0,0.0	0.3106226522515706	0.07074997334104366	9.0,0.0	-0.1976924224424921	9.0,0.0	0.658888066284398	9.0,0.0	-0.369951099482434	9.0,0.0	0.2193781078920987	
