#
# lemniscate: y(n) = (parameter "scale_coef" = 0.07715167498104596, X-coord of center = 0.0, Y-coord of center = 0.0, rotation angle of axes = 1.4625640125632247)
# Noise strength: 0.0
#
# LW_PARAMETER_SETS
(seq_type=lemniscate)
#index_of_time_step	input_0,input_1,input_2,input_3,input_4	output_0,output_1	complexity_0,complexity_1
# LW_SAMPLES
0	0.0,0.07715167498104596,0.0,0.0,1.4625640125632247	0.05401056409534953,0.4970742992411719	0.0,0.0	
1	1.0,0.07715167498104596,0.0,0.0,1.4625640125632247	0.045217535222393454,0.4977598837747765	0.0,0.0	
2	2.0,0.07715167498104596,0.0,0.0,1.4625640125632247	0.036403850086225625,0.49800991913821596	0.0,0.0	
3	3.0,0.07715167498104596,0.0,0.0,1.4625640125632247	0.027589912648861313,0.49782451613952833	2.0908564408235464E-5,8.709875322922E-4	
4	4.0,0.07715167498104596,0.0,0.0,1.4625640125632247	0.018795995616288384,0.49720512416352425	2.0272705987867123E-5,8.694273394435625E-4	
5	5.0,0.07715167498104596,0.0,0.0,1.4625640125632247	0.010042094179072762,0.4961545135471944	6.003600014868951E-5,8.652076176421941E-4	
6	6.0,0.07715167498104596,0.0,0.0,1.4625640125632247	0.00134778065493377,0.49467674275269646	9.96035084339375E-5,8.583788184938768E-4	
7	7.0,0.07715167498104596,0.0,0.0,1.4625640125632247	-0.007246708515331425,0.4926963037065374	1.5941226695042818E-4,9.298284298292492E-4	
8	8.0,0.07715167498104596,0.0,0.0,1.4625640125632247	-0.015725972003820737,0.4902772980771961	2.15050035649679E-4,9.412348348433186E-4	
9	9.0,0.07715167498104596,0.0,0.0,1.4625640125632247	-0.024076928781185815,0.4874520107326779	2.4353239290011638E-4,8.448482983591243E-4	
10	10.0,0.07715167498104596,0.0,0.0,1.4625640125632247	-0.03228270665321657,0.48422989363335345	2.7348561645855474E-4,8.031114699831865E-4	
11	11.0,0.07715167498104596,0.0,0.0,1.4625640125632247	-0.04032751999689612,0.48062136791667764	3.0614343368553024E-4,7.83238372157602E-4	
12	12.0,0.07715167498104596,0.0,0.0,1.4625640125632247	-0.04819013877829282,0.47662554399515844	3.431590906340584E-4,7.737068221947419E-4	
13	13.0,0.07715167498104596,0.0,0.0,1.4625640125632247	-0.055801232228988695,0.47217005596410344	4.337198929836722E-4,8.46962314379196E-4	
14	14.0,0.07715167498104596,0.0,0.0,1.4625640125632247	-0.06319511021015091,0.46736781693734286	4.6874080023448506E-4,8.064151052413759E-4	
15	15.0,0.07715167498104596,0.0,0.0,1.4625640125632247	-0.07036098094298139,0.4622331037641401	4.452227178653942E-4,6.792251421477435E-4	
